iter	RMSE
174	101886.2466
175	101762.6552
176	101542.2376
177	101285.6164
178	101080.9524
179	100810.4154
180	100650.2832
181	100510.9082
182	100372.5813
183	100216.1939
184	100078.4422
185	99896.93342
186	99742.93727
187	99458.00766
188	99356.26458
189	99246.34459
190	99099.15503
191	98880.68687
192	98783.59115
193	98683.91694
194	98612.22296
195	98515.29998
196	98287.48449
197	98057.62924
198	97895.09923
199	97658.15711
200	97550.83827
201	97410.18262
202	97251.8561
203	97169.64532
204	97050.10014
205	96902.93812
206	96803.18742
207	96671.52208
208	96611.49311
209	96522.24393
210	96391.27517
211	96306.43474
212	96246.08855
213	96145.99095
214	95975.19228
215	95907.88042
216	95860.10652
217	95836.25895
218	95655.70228
219	95442.6515
220	95297.00155
221	95228.90646
222	95108.353
223	94804.42
224	94615.26985
225	94425.11657
226	94397.27917
227	94312.213
228	94218.4323
229	94175.33195
230	94068.06668
231	93930.0456
232	93731.10773
233	93505.10957
234	93349.01356
235	93246.02114
236	93131.82283
237	92969.39427
238	92887.24539
239	92789.1029
240	92667.01196
241	92584.99381
242	92469.76224
243	92423.47518
244	92295.99189
245	92218.36995
246	92156.10252
247	92134.37466
248	92035.91962
249	91953.15906
250	91811.15936
251	91787.8012
252	91637.08134
253	91563.78696
254	91510.36075
255	91494.65841
256	91382.05838
257	91325.03955
258	91229.24875
259	91134.65155
260	91101.08762
261	90996.52664
262	90921.55056
263	90870.21652
264	90810.68829
265	90743.73644
266	90541.10542
267	90448.42597
268	90316.29615
269	90236.33203
270	90105.94469
271	90032.47656
272	89905.82576
273	89835.08601
274	89765.12397
275	89696.55285
276	89645.14062
277	89534.28446
278	89441.72825
279	89382.18741
280	89328.78637
281	89243.62634
282	89203.44033
283	89094.19851
284	89058.53057
285	88929.49453
286	88729.07532
287	88674.71965
288	88623.51272
289	88600.19042
290	88566.183
291	88514.91119
292	88444.72981
293	88351.03925
294	88291.48401
295	88194.82388
296	88119.94397
297	87977.48776
298	87844.72003
299	87729.92482
300	87667.48368
301	87665.09034
302	87607.20332
303	87516.50466
304	87450.60556
305	87413.83184
306	87357.35851
307	87261.75596
