iter	Passed	Remaining
428	1747	2326
429	1751	2321
430	1755	2317
431	1759	2313
432	1763	2309
433	1767	2305
434	1772	2301
435	1776	2298
436	1780	2294
437	1785	2290
438	1789	2286
439	1793	2282
440	1797	2278
441	1801	2274
442	1805	2269
443	1809	2265
444	1813	2261
445	1818	2258
446	1822	2254
447	1826	2250
448	1830	2246
449	1834	2242
450	1838	2238
451	1842	2233
452	1847	2230
453	1851	2226
454	1855	2222
455	1860	2219
456	1865	2216
457	1870	2212
458	1873	2208
459	1878	2204
460	1883	2201
461	1887	2197
462	1891	2193
463	1896	2190
464	1900	2186
465	1904	2182
466	1908	2178
467	1912	2174
468	1916	2169
469	1920	2165
470	1924	2161
471	1928	2157
472	1932	2152
473	1935	2148
474	1939	2143
475	1944	2140
476	1948	2136
477	1952	2131
478	1956	2127
479	1960	2123
480	1964	2119
481	1967	2114
482	1971	2110
483	1975	2106
484	1979	2101
485	1983	2097
486	1987	2093
487	1991	2089
488	1995	2085
489	1999	2081
490	2003	2077
491	2007	2072
492	2011	2068
493	2015	2064
494	2019	2059
495	2023	2055
496	2027	2051
497	2031	2047
498	2035	2043
499	2039	2039
500	2043	2035
501	2047	2031
502	2051	2026
503	2054	2022
504	2058	2018
505	2062	2013
506	2066	2009
507	2070	2004
508	2074	2000
509	2077	1996
510	2081	1992
511	2085	1987
512	2089	1984
513	2093	1979
514	2097	1975
515	2101	1971
516	2105	1966
517	2108	1962
518	2112	1958
519	2116	1953
520	2120	1949
521	2124	1945
522	2128	1941
523	2132	1937
524	2136	1933
525	2140	1929
526	2144	1925
527	2148	1921
528	2152	1916
529	2156	1912
530	2160	1908
531	2164	1903
532	2167	1899
533	2171	1895
534	2175	1890
535	2179	1887
536	2183	1882
537	2187	1878
538	2192	1874
539	2196	1870
540	2200	1866
541	2203	1862
542	2208	1858
543	2212	1854
544	2215	1849
545	2219	1845
546	2223	1841
547	2227	1837
548	2231	1833
549	2235	1828
550	2240	1825
551	2244	1821
552	2247	1817
553	2251	1812
554	2256	1809
555	2260	1804
556	2263	1800
557	2267	1796
558	2272	1792
559	2276	1788
560	2280	1784
561	2284	1780
562	2289	1776
563	2293	1773
564	2297	1768
565	2301	1764
566	2305	1760
567	2308	1755
568	2312	1751
569	2316	1747
570	2320	1743
571	2324	1739
572	2328	1735
573	2332	1731
574	2336	1727
575	2340	1722
576	2344	1718
577	2347	1714
578	2351	1709
579	2355	1705
580	2359	1701
581	2363	1697
582	2367	1693
583	2371	1689
584	2376	1685
585	2380	1681
586	2383	1677
587	2387	1672
588	2391	1668
589	2395	1664
590	2399	1660
591	2402	1655
592	2406	1651
593	2410	1647
594	2414	1643
595	2418	1639
596	2422	1635
597	2426	1631
598	2430	1627
599	2434	1622
600	2438	1618
601	2442	1614
602	2446	1610
603	2449	1606
604	2453	1601
605	2457	1597
606	2461	1593
607	2464	1589
608	2468	1584
609	2472	1580
610	2476	1576
611	2479	1572
612	2484	1568
613	2488	1564
614	2492	1560
615	2496	1556
616	2502	1553
617	2506	1549
618	2510	1545
619	2515	1541
620	2519	1537
621	2523	1533
622	2527	1529
623	2532	1525
624	2536	1521
625	2541	1518
626	2545	1514
627	2549	1510
628	2553	1506
629	2557	1502
630	2563	1498
631	2567	1494
632	2570	1490
633	2574	1486
634	2578	1482
635	2582	1478
636	2586	1474
637	2590	1469
638	2595	1466
639	2599	1462
640	2603	1458
641	2607	1454
642	2612	1450
643	2616	1446
644	2621	1442
645	2625	1438
646	2631	1435
647	2635	1431
648	2638	1427
649	2643	1423
650	2647	1419
651	2651	1415
652	2655	1411
653	2660	1407
654	2664	1403
655	2668	1399
656	2672	1395
657	2677	1391
658	2681	1387
659	2685	1383
660	2689	1379
661	2693	1375
662	2697	1371
663	2701	1366
664	2705	1362
665	2709	1358
666	2713	1354
667	2717	1350
668	2721	1346
669	2725	1342
670	2729	1338
671	2733	1334
672	2737	1330
673	2741	1325
674	2745	1321
675	2749	1317
676	2753	1313
677	2757	1309
678	2761	1305
679	2766	1301
680	2770	1297
681	2775	1294
682	2779	1289
683	2783	1285
684	2787	1281
685	2790	1277
686	2794	1273
687	2798	1269
688	2802	1265
689	2806	1260
690	2810	1256
691	2813	1252
692	2818	1248
693	2822	1244
694	2826	1240
695	2830	1236
696	2835	1232
697	2838	1228
698	2842	1224
699	2847	1220
700	2851	1216
701	2855	1212
702	2859	1207
703	2864	1204
704	2868	1200
705	2872	1196
706	2877	1192
707	2881	1188
708	2885	1184
709	2889	1180
710	2893	1176
711	2897	1172
712	2901	1167
713	2905	1163
714	2909	1159
715	2913	1155
716	2917	1151
717	2920	1147
718	2925	1143
719	2929	1139
720	2932	1134
721	2936	1130
722	2940	1126
723	2944	1122
724	2948	1118
725	2951	1114
726	2956	1110
727	2960	1105
728	2963	1101
729	2967	1097
730	2971	1093
731	2975	1089
732	2979	1085
733	2983	1081
734	2988	1077
735	2992	1073
736	2996	1069
737	2999	1064
738	3003	1060
739	3007	1056
740	3011	1052
741	3015	1048
742	3019	1044
743	3023	1040
744	3028	1036
745	3031	1032
746	3036	1028
747	3039	1024
748	3043	1020
749	3047	1015
750	3051	1011
751	3055	1007
752	3059	1003
753	3063	999
754	3067	995
755	3071	991
756	3075	987
757	3086	985
758	3090	981
759	3094	977
760	3099	973
761	3104	969
762	3108	965
763	3112	961
764	3117	957
765	3121	953
766	3125	949
767	3129	945
768	3133	941
769	3137	937
770	3140	932
771	3145	928
772	3149	924
773	3153	920
774	3157	916
775	3161	912
776	3165	908
777	3169	904
778	3173	900
779	3177	896
780	3181	892
781	3184	887
782	3188	883
783	3193	879
784	3196	875
785	3200	871
786	3204	867
787	3208	863
788	3212	859
789	3216	855
790	3220	850
791	3224	846
792	3228	842
793	3232	838
794	3236	834
795	3240	830
796	3244	826
797	3248	822
798	3252	818
799	3256	814
800	3260	809
801	3264	805
802	3267	801
803	3272	797
804	3275	793
805	3279	789
806	3283	785
807	3288	781
808	3291	777
809	3295	773
810	3299	768
811	3303	764
812	3307	760
813	3311	756
814	3315	752
815	3319	748
816	3324	744
817	3328	740
818	3332	736
819	3337	732
820	3341	728
821	3345	724
822	3350	720
823	3356	716
824	3360	712
825	3366	709
826	3370	704
827	3374	700
828	3377	696
829	3382	692
830	3386	688
831	3390	684
832	3393	680
833	3398	676
834	3402	672
835	3406	668
836	3410	664
837	3414	660
838	3419	656
839	3422	651
840	3428	648
841	3433	644
842	3438	640
843	3442	636
844	3447	632
845	3453	628
846	3459	624
847	3465	621
848	3469	617
849	3473	613
850	3478	609
851	3482	604
852	3486	600
853	3490	596
854	3494	592
855	3498	588
856	3502	584
857	3507	580
858	3510	576
859	3514	572
860	3518	567
861	3522	563
862	3526	559
863	3531	555
864	3535	551
865	3539	547
866	3543	543
867	3547	539
868	3551	535
869	3555	531
870	3559	527
