iter	RMSE
231	116426.6266
232	116310.1974
233	116246.6823
234	116105.9671
235	115910.5003
236	115794.3608
237	115593.4279
238	115346.3489
239	115167.5612
240	115014.6431
241	114989.3306
242	114953.2015
243	114764.8626
244	114542.4381
245	114385.5007
246	114257.0635
247	114062.1472
248	113851.4401
249	113695.7484
250	113407.2693
251	113231.4054
252	113067.5117
253	112849.0309
254	112713.1974
255	112514.5504
256	112311.7227
257	112217.0886
258	112043.8735
259	111953.7226
260	111821.8741
261	111659.3618
262	111463.9354
263	111264.9528
264	111137.2894
265	110972.0254
266	110816.5815
267	110648.9474
268	110532.8931
269	110463.4092
270	110332.4754
271	110190.2511
272	110052.4825
273	109852.5884
274	109760.8548
275	109744.0743
276	109602.3127
277	109463.6785
278	109358.879
279	109185.4514
280	109168.9568
281	109058.2898
282	108939.7833
283	108820.2874
284	108719.6627
285	108607.8889
286	108531.3427
287	108387.0709
288	108239.9222
289	108194.6381
290	108155.2532
291	107996.9372
292	107918.845
293	107819.7766
294	107653.4863
295	107556.4865
296	107397.2169
297	107173.8536
298	107120.0637
299	107028.9226
300	106976.3867
301	106903.3272
302	106772.1692
303	106621.6251
304	106571.3692
305	106509.5719
306	106461.2948
307	106314.2162
308	106230.9509
309	106191.1682
310	105994.7426
311	105863.6813
312	105805.0243
313	105729.4772
314	105620.0741
315	105500.7785
316	105399.0131
317	105292.6443
318	105234.814
319	105097.0132
320	105039.8353
321	104956.6785
322	104796.7133
323	104618.9112
324	104585.7042
325	104453.4264
326	104333.5225
327	104207.2593
328	104032.4048
329	103959.1131
330	103862.781
331	103756.2577
332	103631.8369
333	103558.925
334	103397.0331
335	103292.5697
336	103178.0404
337	103057.6593
338	102955.1734
339	102877.6094
340	102798.5298
341	102737.8225
342	102627.6502
343	102449.8533
344	102402.7855
345	102300.7272
346	102145.9138
347	102076.7611
348	101973.9441
349	101875.0155
350	101800.9596
351	101715.3139
352	101594.3208
353	101457.6966
354	101402.8481
355	101354.9068
356	101287.1801
357	101172.5711
358	101073.7297
359	100946.7592
360	100849.3157
361	100744.5645
362	100632.1995
363	100520.1919
364	100466.2526
365	100426.9765
366	100283.9237
367	100224.9652
368	100141.5658
369	100088.9449
370	99997.21774
371	99915.4837
372	99798.02906
373	99669.55183
374	99602.56276
375	99554.49446
376	99466.18479
377	99347.9341
378	99304.5399
379	99203.67153
380	99102.90476
381	99021.86915
382	98976.51048
383	98932.46392
384	98891.71366
385	98796.82903
386	98745.19888
387	98647.53586
388	98621.02171
389	98510.02037
390	98445.59297
391	98337.10922
392	98270.32196
393	98219.81478
394	98134.58563
395	97992.08992
396	97926.57405
397	97879.26773
398	97816.05741
399	97805.26312
400	97720.58541
401	97583.9991
402	97526.76859
403	97437.30505
404	97350.33853
405	97273.04144
406	97180.33582
407	97104.2923
408	97014.17718
409	96918.72415
410	96875.63804
411	96787.26871
412	96724.688
413	96697.84072
414	96595.75143
415	96517.071
416	96471.66527
417	96366.25919
418	96359.3265
419	96264.42015
420	96257.73774
421	96251.27757
422	96207.66939
423	96127.98637
424	96086.72
425	96001.63151
426	95924.33651
427	95838.06193
428	95799.14894
429	95630.55846
430	95573.28293
431	95536.12902
432	95500.66491
433	95427.75457
434	95398.29189
435	95323.13788
436	95210.38313
437	95145.78807
438	95068.26335
439	94998.91229
440	94935.43008
441	94842.68968
442	94754.07824
443	94650.37878
444	94610.15477
445	94516.91424
446	94463.99503
447	94373.32581
448	94277.70548
449	94192.03373
450	94142.69839
451	94110.22314
452	94037.71521
453	93995.5234
454	93972.83813
455	93941.78684
456	93882.7185
457	93802.52503
458	93788.26332
459	93722.87906
460	93629.51544
461	93543.92823
